,id_in_data
CID000002801,0
CID000001065,1
CID000005544,2
CID000004834,3
CID000156419,4
CID003085017,5
CID000012536,6
CID000005212,7
CID000003510,8
CID000041317,9
CID000005771,10
CID000003373,11
CID006435110,12
CID003002190,13
CID000004595,14
CID006398525,15
CID000148211,16
CID000003478,17
CID000005486,18
CID000002160,19
CID000003154,20
CID000071616,21
CID000002274,22
CID005362420,23
CID000062924,24
CID000003255,25
CID000005029,26
CID005311181,27
CID000005978,28
CID000068740,29
CID000005584,30
CID000002949,31
CID000002895,32
CID000002610,33
CID000004819,34
CID000003461,35
CID000002995,36
CID000024486,37
CID000005253,38
CID000003249,39
CID000003198,40
CID000003637,41
CID000002609,42
CID000002375,43
CID000131536,44
CID000004739,45
CID000005538,46
CID000000838,47
CID000005408,48
CID000004873,49
CID000125017,50
CID000004943,51
CID000060612,52
CID000216239,53
CID000003658,54
CID000005478,55
CID000009052,56
CID005282044,57
CID004659568,58
CID000002541,59
CID000002512,60
CID000003657,61
CID004183806,62
CID000004173,63
CID000004140,64
CID000001986,65
CID000104865,66
CID000016231,67
CID000004666,68
CID000002907,69
CID000004052,70
CID000002637,71
CID000004158,72
CID000004585,73
CID000002462,74
CID000003516,75
CID000002676,76
CID000119182,77
CID000003928,78
CID000123606,79
CID000444033,80
CID000005381,81
CID000003016,82
CID000003488,83
CID000002265,84
CID000038904,85
CID000001117,86
CID000002170,87
CID000003559,88
CID005329102,89
CID000003397,90
CID000004425,91
CID000003730,92
CID000004171,93
CID000004044,94
CID000003661,95
CID000000271,96
CID000005152,97
CID000005719,98
CID000000158,99
CID000004634,100
CID000004107,101
CID000004547,102
CID000145068,103
CID000003690,104
CID000124087,105
CID000004946,106
CID000060198,107
CID000071273,108
CID000122316,109
CID000003410,110
CID000077993,111
CID000003825,112
CID000003414,113
CID000004264,114
CID000150311,115
CID000074989,116
CID000003715,117
CID000005040,118
CID000003914,119
CID000071329,120
CID000002733,121
CID000002800,122
CID005311027,123
CID000003365,124
CID000056339,125
CID000004645,126
CID000000444,127
CID000003203,128
CID000002215,129
CID000003404,130
CID000003278,131
CID005311297,132
CID000000191,133
CID000060854,134
CID000003121,135
CID000004428,136
CID000508230,137
CID000002554,138
CID000060852,139
CID000004509,140
CID000003763,141
CID000004845,142
CID000002551,143
CID000004485,144
CID000024011,145
CID000002092,146
CID000008953,147
CID000005466,148
CID000005454,149
CID000004536,150
CID000005095,151
CID000060815,152
CID000042113,153
CID000148192,154
CID000130881,155
CID000060184,156
CID000003639,157
CID000003741,158
CID000077999,159
CID000009433,160
CID000197712,161
CID000004463,162
CID000005391,163
CID000003152,164
CID000005596,165
CID000002732,166
