STITCH,Gene
74,1832
74,6988
49,3079
49,3078
49,3080
198,1614
198,18384
198,2679
198,2677
198,2674
198,2675
198,2672
198,16277
198,743
198,744
198,740
198,8731
198,7505
198,7503
198,4252
198,4256
198,8710
198,4255
198,13932
198,4188
198,12977
198,2680
198,11115
198,11154
198,4187
198,16313
198,16312
198,8871
198,8872
198,6736
198,12629
198,8873
198,7417
198,5066
198,17657
198,2635
198,19150
198,8813
198,17687
198,12657
198,14184
198,3026
198,12529
198,2659
198,16217
198,2070
198,19657
198,1593
198,1589
198,2005
198,1591
198,1592
198,1597
198,2668
198,2667
198,2666
198,2664
198,2663
198,2662
198,10528
198,2534
198,3081
198,4857
198,1599
198,7131
198,3079
198,10670
198,3078
198,1121
198,2687
198,19360
198,3080
198,9296
198,756
198,6506
198,10771
198,755
198,758
198,7300
198,3415
198,19510
198,4135
198,4692
198,3088
198,3089
198,3090
198,782
198,783
198,781
198,2486
198,7508
198,4282
198,17725
198,4253
198,16132
198,6846
198,3701
198,10886
198,2744
198,5018
198,5663
198,5664
198,11919
198,5662
198,5665
198,5666
198,2565
198,754
198,753
198,2688
198,2689
198,1331
198,1330
198,1080
198,4186
198,1078
198,18485
198,2853
198,2852
198,4215
198,2008
198,4850
198,3704
198,3703
198,9184
198,6053
198,7028
198,749
198,750
198,3061
198,745
198,15742
198,1117
198,751
198,3082
198,4855
198,3086
198,3083
198,4854
198,8422
198,4856
198,4853
198,4859
198,3094
198,12676
198,5051
198,17538
198,2004
198,5808
198,3702
198,3707
198,9188
198,2006
198,6852
198,10354
198,10671
198,1171
198,9193
605,12648
605,2306
605,17778
605,12679
605,7640
329,3022
163,2472
163,2471
163,2457
163,3842
163,2464
163,2463
163,2466
163,2465
163,2467
163,2473
413,1614
413,18384
413,2679
413,2677
413,2674
413,2675
413,2672
413,16277
413,743
413,744
413,740
413,8731
413,663
413,7505
413,7503
413,4252
413,4256
413,8710
413,4255
413,13932
413,4188
413,6980
413,12977
413,2680
413,11115
413,11154
413,4187
413,16313
413,16312
413,8871
413,8872
413,6736
413,12629
413,8873
413,7417
413,5066
413,17657
413,2635
413,19150
413,8813
413,17687
413,12657
413,14184
413,873
413,3026
413,12529
413,2659
413,16217
413,2070
413,19657
413,1593
413,5501
413,1589
413,2005
413,1591
413,1592
413,1597
413,2668
413,2667
413,2666
413,2664
413,2663
413,2662
413,10528
413,2534
413,3081
413,4857
413,1599
413,7131
413,3079
413,10670
413,3078
413,1121
413,2687
413,19360
413,3080
413,9296
413,756
413,6506
413,10771
413,755
413,758
413,7300
413,3415
413,19510
413,4135
413,4692
413,3088
413,3089
413,3090
413,782
413,783
413,781
413,2486
413,7508
413,4282
413,17725
